Error Code,Error Description,Reason
YCM90_001,11756,UNIQUE DESCRIPTION
java.lang.ArithmeticException,7256,UNIQUE DESCRIPTION
java.lang.StringIndexOutOfBoundsException,5848,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,3820,UNIQUE DESCRIPTION
WSI0001,2858,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,2340,UNIQUE DESCRIPTION
Service not configured for EOF message,1966,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,1788,UNIQUE DESCRIPTION
IDS0025,1272,UNIQUE DESCRIPTION
VAS00049,683,UNIQUE DESCRIPTION
IDS0034,228,UNIQUE DESCRIPTION
IDS0034,342,UNIQUE DESCRIPTION
ContainerNo not provided in FinalMileDeliveryUpdate Message,516,UNIQUE DESCRIPTION
java.lang.NullPointerException: PrimarySupplier (Item/PrimaryInformation/@PrimarySupplier)is Mandatory to get Organization Hierarchy Details,441,UNIQUE DESCRIPTION
WSI_PAYMENT_PROCESSING_0032,235,UNIQUE DESCRIPTION
Exception occured while acquiring lock for Promise Date table,140,UNIQUE DESCRIPTION
YDM00200,130,UNIQUE DESCRIPTION
ShipmentUpdate.0005,54,UNIQUE DESCRIPTION
EXTN_DS0022,51,UNIQUE DESCRIPTION
TO0001,48,UNIQUE DESCRIPTION
Received FinalMileDelivery Message should not have Delivery Quantity as '0',28,UNIQUE DESCRIPTION
VAS00045,20,UNIQUE DESCRIPTION
EXTN_DS0009,18,UNIQUE DESCRIPTION
WSI_FORCE_WO_DELIVERY_ERROR_0002,10,UNIQUE ERRORCODE
VAS00071,4,UNIQUE DESCRIPTION
MEMBERSHIP_FULFILL_0005,2538,UNIQUE DESCRIPTION
WSI_RETURN_ORDER_0018,4070,UNIQUE DESCRIPTION
