Error Code,Error Description,Reason
YCM90_001,8726,UNIQUE DESCRIPTION
java.lang.ArithmeticException,2941,UNIQUE DESCRIPTION
WSI_FORCE_WO_DELIVERY_ERROR_0002,1522,UNIQUE DESCRIPTION
EXTN_DS0013,765,UNIQUE DESCRIPTION
Service not configured for EOF message,594,UNIQUE DESCRIPTION
VAS00049,586,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,513,UNIQUE DESCRIPTION
WSI_TRIGGER_APPT_CONF_REMNDR_EMAIL_2,226,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,400,UNIQUE DESCRIPTION
WSIDROPSHIP2_00010,216,UNIQUE DESCRIPTION
ContainerNo not provided in FinalMileDeliveryUpdate Message,184,UNIQUE DESCRIPTION
IDS0034,63,UNIQUE DESCRIPTION
WorkOrder is not in Valid Status for Processing PickUp Exception,48,UNIQUE DESCRIPTION
YDM00200,42,UNIQUE DESCRIPTION
VAS00045,24,UNIQUE DESCRIPTION
ERRORCODE_ORDACK_101,6,UNIQUE ERRORCODE
ContainerNo missing in PickUp Scan Event,4,UNIQUE ERRORCODE
MEMBERSHIP_FULFILL_0005,842,UNIQUE DESCRIPTION
WSI_RETURN_ORDER_0018,357,UNIQUE DESCRIPTION
