ORDER_NO,PRIME_LINE_NO,SUB_LINE_NO,SHIPMENT_NO,SHIPMENT_LINE_KEY,SHIPMENT_KEY,TRACKING_NO,CONTAINER_NO,ITEM_ID,ENTERPRISE_CODE,QUANTITY,DOCUMENT_TYPE
340653931618,1,1,713609347,202403071628533901034911,202403071628533901034913,1ZW5R9031255339498,86739320,8845580,PK,1,0001
341043498730,1,9000,717336778,202404151851165788412626,202404151851165788412629,1Z447E1F1219976323,88301330,9764271,PB,2,0001
341393021546,1,1,720409277,202405201913237607855190,202405201913237607855197,1ZW5R9031261384883,89523378,2478899,PK,1,0001
340733361109,1,1,714316752,202403141622134231686741,202403141622134231686743,1Z4E67641288081513,87111292,3701401,PB,1,0001
340990098386,1,1,717643264,202404181234025942781875,202404181234025942781908,1Z8222V21219646823,W12836627,8845107,WE,1,0001
340992253229,4,9001,716776350,202404091718095493464471,202404091718095493464475,1Z4E67641202768442,88099659,8239140,PB,2,0001
341023655291,6,1,717056140,202404120433535625487282,202404120433535625487284,1ZW5R9031258022592,88225770,3484976,WE,2,0001
340893236232,2,1,716068093,202404020431515117281402,202404020431515117281406,1ZW412051253727223,87790048,9501052,WS,1,0001
341653404747,1,1,722866987,202406141018008854488497,202406141018008854488502,1Z9740X41204565881,K12949250,4222444,PK,1,0001
341402269565,1,1,720857323,202405241458257817950083,202405241458257817950086,1ZW459701262103278,89768703,943640,WS,1,0001
340870921848,1,1,717050788,202404120144055619950452,202404120144055619950453,1Z8222V20389581663,W12764289,6319783,WE,70,0001
340870921848,1,1,717050743,202404120143475619925747,202404120143475619925749,1Z8222V20389581654,W12764288,6319783,WE,70,0001
340870921848,1,1,717050788,202404120144055619950452,202404120144055619950453,1Z8222V20389581663,W12764289,6319783,WE,59,0001
340870921848,1,1,717050743,202404120143475619925747,202404120143475619925749,1Z8222V20389581654,W12764288,6319783,WE,59,0001
340870921848,1,1,717052451,202404120252095622827960,202404120252095622827961,1Z8222V20319629592,W12764267,6319783,WE,70,0001
340870921848,1,1,717052451,202404120252095622827960,202404120252095622827961,1Z8222V20319629592,W12764267,6319783,WE,59,0001
341512489087,1,1,721533503,202405311804268173368939,202405311804268173368942,1ZW45970YW62754861,90047908,9317416,MG,1,0001
341712701026,2,1,723645383,202406221157239265995724,202406221157239265995725,1ZB37H661201177312,A00517008,582275,PB,1,0001
340783513468,1,1,714786249,202403191623334465069007,202403191623334465069009,1Z4E67641288199290,87299271,3520117,PB,1,0001
340823280524,1,1,715802684,202403291211414960533420,202403291211414960533423,1Z8222V21253180664,W12635978,2331415,RJ,1,0001
340762615185,1,1,714726512,202403190803394442847584,202403190803394442847585,1Z9740X41203276909,K12443434,2592171,PK,1,0001
340702497744,1,1,713989180,202403111930244070562394,202403111930244070562408,1ZW5R9031255694881,86969170,2279437,WE,2,0001
340842097578,4,9000,715510218,202403262346344824689216,202403262346344824689218,1ZW459700257172115,87579155,6245909,PB,2,0001
341113455560,2,9000,717859835,202404220443116138828680,202404220443116138828684,1ZW412051255123710,88526840,9262885,WS,1,0001
341362520437,1,1,720110627,202405161717427423328913,202405161717427423328917,1Z4E67641203305823,89443223,3238302,PB,1,0001
340923782270,1,1,716181829,202404022137425160699671,202404022137425160699673,1ZW41205YW53897783,87898728,4300752,WS,2,0001
340972629315,1,1,718397605,202404261812126436758415,202404261812126436758418,1ZW5R9031259108220,88755983,2961564,WS,1,0001
341493702565,1,1,721845067,202406041720478352707904,202406041720478352707905,1Z4E67641203548660,90272220,6452768,PB,1,0001
340872390620,2,9001,718144047,202404241216166284508106,202404241216166284508110,1Z8222V21253259937,W12898744,8695788,WE,1,0001
340843088667,12,1,715354478,202403251821374762385327,202403251821374762385331,1Z4E67641288341536,87594641,7255195,PB,2,0001
341243148077,1,1,719303723,202405071849346980593572,202405071849346980593577,1ZW45970YW60200766,89091796,4522903,RJ,1,0001
341143707733,1,1,718666703,202404301816586641403698,202404301816586641403699,1ZW5R9031259304633,88834530,5038218,PK,2,0001
341332047529,1,1,723630294,202406220603269252346788,202406220603269252346805,1ZW412051260103697,90945032,861318,WS,1,0001
340670900349,5,1,717050757,202404120143545619936412,202404120143545619936413,1Z8222V21219623848,W12729207,6001455,WE,20,0001
340670900349,5,1,717050757,202404120143545619936412,202404120143545619936413,1Z8222V21219623848,W12729207,6001455,WE,32,0001
340833849656,4,1,716538558,202404062103125362737312,202404062103125362737314,1ZW45970YW57995647,88036780,5284904,WS,2,0001
341063770976,2,9003,717669084,202404181747465956323413,202404181747465956323415,1Z9Y84A51206964287,88368448,1568826,PK,1,0001
341062128887,1,1,717375576,202404160631225811081272,202404160631225811081275,1Z977E5F1275142453,88360947,5016672,PB,1,0001
341052525571,8,1,717432215,202404161634305835949704,202404161634305835949707,1Z4E67641202872981,88301632,4594152,PB,1,0001
340673399689,1,1,713905220,202403111040304049494401,202403111040304049494405,1Z8222V21253118286,86862338,9558436,WE,1,0001
341132817360,1,1,720074340,202405160839097401882351,202405160839097401882364,1Z977E5F1209354287,T01699797,5621905,WE,1,0001
340792025728,2,1,714823509,202403192149484476499291,202403192149494476499294,1Z4E67641202396004,87351182,5395558,PB,2,0001
341252283781,2,1,719129603,202405061226556909824398,202405061226556909824400,1Z974Y170200160545,K12706337,6271593,PB,1,0001
341672852603,2,1,723062756,202406171132108986137706,202406171132108986137729,1Z8222V21219745378,W13337168,2890592,PK,1,0001
341492506280,2,1,721507202,202405311530318166302065,202405311530318166302110,1Z4X525A1268418409,T01855452,9618706,PB,2,0001
341282022423,1,1,719529109,202405091741547084090836,202405091741547084090837,1ZW5R9031260246864,89237078,1580865,PT,1,0001
340663038073,1,1,713905280,202403111040434049502098,202403111040434049502102,1Z8222V21219528728,86861756,5223066,WE,1,0001
341512905405,1,1,721467425,202405310802498146018892,202405310802498146018902,1Z9740X41248873091,K12870477,1184571,WE,1,0001
