Error Code,Error Description,Reason
java.lang.ArithmeticException,814,UNIQUE DESCRIPTION
YCM90_001,642,UNIQUE DESCRIPTION
java.lang.StringIndexOutOfBoundsException,426,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,255,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,135,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,134,UNIQUE DESCRIPTION
Service not configured for EOF message,132,UNIQUE DESCRIPTION
IDS0025,80,UNIQUE DESCRIPTION
VAS00049,36,UNIQUE DESCRIPTION
Received FinalMileDelivery Message should not have Delivery Quantity as '0',4,UNIQUE ERRORCODE
MEMBERSHIP_FULFILL_0005,626,UNIQUE DESCRIPTION
java.lang.ArithmeticException,165,UNIQUE DESCRIPTION
WSI_RETURN_ORDER_0018,133,UNIQUE DESCRIPTION
