Error Code,Error Description,Reason
java.lang.StringIndexOutOfBoundsException,715,UNIQUE DESCRIPTION
WSI_FORCE_WO_DELIVERY_ERROR_0002,578,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,222,UNIQUE DESCRIPTION
CustomError001,192,UNIQUE DESCRIPTION
java.lang.ArithmeticException,182,UNIQUE DESCRIPTION
Service not configured for EOF message,124,UNIQUE DESCRIPTION
java.lang.ArrayIndexOutOfBoundsException: -1,51,UNIQUE DESCRIPTION
EXTN_DS0022,21,UNIQUE DESCRIPTION
EXTN_DS0005,10,UNIQUE DESCRIPTION
