Error Code,Error Description,Reason
YCM90_001,3780,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,1272,UNIQUE DESCRIPTION
java.lang.ArithmeticException,561,UNIQUE DESCRIPTION
java.lang.StringIndexOutOfBoundsException,456,UNIQUE DESCRIPTION
CustomError001,423,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,375,UNIQUE DESCRIPTION
java.lang.ArrayIndexOutOfBoundsException: -1,279,UNIQUE DESCRIPTION
Service not configured for EOF message,234,UNIQUE DESCRIPTION
VAS00049,172,UNIQUE DESCRIPTION
IDS0025,120,UNIQUE DESCRIPTION
IDS0034,51,UNIQUE DESCRIPTION
WorkOrder is not in Valid Status for Processing PickUp Exception,60,UNIQUE DESCRIPTION
javax.naming.AuthenticationException,40,UNIQUE DESCRIPTION
EXTN_DS0001,6,UNIQUE ERRORCODE
JMSContext6,5,UNIQUE DESCRIPTION
IDS0025,392,UNIQUE DESCRIPTION
java.lang.ArithmeticException,1891,UNIQUE DESCRIPTION
WSI_FORCE_WO_DELIVERY_ERROR_0002,1306,UNIQUE DESCRIPTION
java.lang.ArrayIndexOutOfBoundsException: -1,450,UNIQUE DESCRIPTION
IDS0025,378,UNIQUE DESCRIPTION
VAS00049,370,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0001,189,UNIQUE DESCRIPTION
WSI_TRIGGER_APPT_CONF_REMNDR_EMAIL_2,90,UNIQUE ERRORCODE
java.lang.StringIndexOutOfBoundsException,169,UNIQUE DESCRIPTION
IDS0034,93,UNIQUE DESCRIPTION
org.w3c.dom.DOMException,128,UNIQUE DESCRIPTION
WSI_MOT_DATES_MONITOR_ERROR_0002,84,UNIQUE DESCRIPTION
WorkOrder is not in Valid Status for Processing PickUp Exception,36,UNIQUE DESCRIPTION
javax.naming.AuthenticationException,12,UNIQUE DESCRIPTION
YDM00116,6,UNIQUE ERRORCODE
WSIDROPSHIP2_00029,4,UNIQUE DESCRIPTION
IDS0025,736,UNIQUE DESCRIPTION
